Player,Score
Tit_for_tat,6705.0
Generous_TFT,6607.5
Windowed_Forgiveness_TFT,6300.8
Soft_Majority,6260.4
Predictive_Mirror,6180.4
Tit_for_two_tats,6087.1
Pavlov,5989.8
Always_cooperate,5814.6
Punisher,5761.0
Adaptive_Tit_For_Tat,5706.9
Grim_Trigger,5648.3
Adaptive_Tit_For_Tat_10,5575.1
Gradual_Retaliator,5498.1
NicerTester,5427.1
Random,5395.2
Alternator,5356.8
Extortioner,5264.3
Retaliator,5223.5
Tester,5194.4
Not_nice_tit_for_tat,5061.8
Spiteful,5003.3
Prober,4970.7
Joss,4686.1
Always_defect,4529.3
