player,opponent,player score,opponent score
Alternator,Tit_for_tat,253.0,248.0
Alternator,Always_cooperate,400.0,150.0
Alternator,Always_defect,50.0,300.0
Alternator,Tit_for_two_tats,400.0,150.0
Alternator,Random,232.3,222.8
Alternator,Alternator,200.0,200.0
Alternator,Not_nice_tit_for_tat,250.0,250.0
Alternator,Grim_Trigger,57.0,297.0
Alternator,Pavlov,225.0,225.0
Alternator,Prober,250.0,250.0
Alternator,Tester,397.0,152.0
Alternator,Joss,234.6,252.6
Alternator,Soft_Majority,253.0,248.0
Alternator,Adaptive_Tit_For_Tat,253.0,248.0
Alternator,Punisher,149.0,275.0
Alternator,Extortioner,169.0,249.0
Alternator,Retaliator,56.4,297.4
Alternator,Spiteful,50.0,300.0
