player,opponent,player score,opponent score
Extortioner,Tit_for_tat,201.0,201.0
Extortioner,Always_cooperate,432.0,102.0
Extortioner,Always_defect,66.0,236.0
Extortioner,Tit_for_two_tats,333.0,168.0
Extortioner,Random,243.3,171.3
Extortioner,Alternator,249.0,169.0
Extortioner,Not_nice_tit_for_tat,198.0,203.0
Extortioner,Grim_Trigger,73.0,233.0
Extortioner,Pavlov,300.0,135.0
Extortioner,Prober,70.0,235.0
Extortioner,Tester,429.0,104.0
Extortioner,Joss,188.6,204.1
Extortioner,Soft_Majority,73.0,233.0
Extortioner,Adaptive_Tit_For_Tat,201.0,201.0
Extortioner,Punisher,71.2,234.2
Extortioner,Extortioner,168.0,168.0
Extortioner,Retaliator,198.0,203.0
Extortioner,Spiteful,66.0,236.0
