player,opponent,player score,opponent score
Random,Tit_for_tat,226.7,223.7
Random,Always_cooperate,401.8,147.3
Random,Always_defect,51.4,294.4
Random,Tit_for_two_tats,312.3,184.8
Random,Random,239.7,226.2
Random,Alternator,222.8,232.3
Random,Not_nice_tit_for_tat,226.0,229.5
Random,Grim_Trigger,61.4,284.4
Random,Pavlov,217.1,233.6
Random,Prober,187.6,237.1
Random,Tester,199.0,227.5
Random,Joss,208.8,228.8
Random,Soft_Majority,232.8,222.8
Random,Adaptive_Tit_For_Tat,275.3,201.3
Random,Punisher,144.3,259.8
Random,Extortioner,171.3,243.3
Random,Retaliator,171.4,251.4
Random,Spiteful,49.3,302.8
