player,opponent,player score,opponent score
Tester,Tit_for_tat,299.0,299.0
Tester,Always_cooperate,496.0,6.0
Tester,Always_defect,1.0,496.0
Tester,Tit_for_two_tats,116.0,101.0
Tester,Random,227.5,199.0
Tester,Alternator,152.0,397.0
Tester,Not_nice_tit_for_tat,295.0,300.0
Tester,Grim_Trigger,5.0,495.0
Tester,Pavlov,5.0,495.0
Tester,Prober,105.0,105.0
Tester,Tester,104.0,104.0
Tester,Joss,270.8,317.8
Tester,Soft_Majority,296.0,301.0
Tester,Adaptive_Tit_For_Tat,299.0,299.0
Tester,Punisher,293.0,303.0
Tester,Extortioner,104.0,429.0
Tester,Retaliator,292.0,302.0
Tester,Spiteful,1.0,496.0
