Player,Score
Tit_for_tat,6712.1
Generous_TFT,6615.0
Windowed_Forgiveness_TFT,6286.3
Tit_for_two_tats,6242.9
Predictive_Mirror,6188.9
Soft_Majority,6051.8
Pavlov,5997.6
Always_cooperate,5795.4
Adaptive_Tit_For_Tat,5769.6
Adaptive_Tit_For_Tat_10,5680.8
Grim_Trigger,5631.3
Gradual_Retaliator,5605.4
Punisher,5493.8
NicerTester,5426.9
Tester,5376.0
Extortioner,5339.1
Alternator,5264.4
Retaliator,5223.7
Random,5176.6
Not_nice_tit_for_tat,5078.9
Prober,5004.3
Spiteful,4974.9
Joss,4734.3
Always_defect,4559.9
