player,opponent,player score,opponent score
Not_nice_tit_for_tat,Tit_for_tat,250.0,250.0
Not_nice_tit_for_tat,Always_cooperate,302.0,297.0
Not_nice_tit_for_tat,Always_defect,100.0,100.0
Not_nice_tit_for_tat,Tit_for_two_tats,302.0,297.0
Not_nice_tit_for_tat,Random,226.6,224.1
Not_nice_tit_for_tat,Alternator,250.0,250.0
Not_nice_tit_for_tat,Not_nice_tit_for_tat,100.0,100.0
Not_nice_tit_for_tat,Grim_Trigger,103.0,103.0
Not_nice_tit_for_tat,Pavlov,203.0,198.0
Not_nice_tit_for_tat,Prober,251.0,246.0
Not_nice_tit_for_tat,Tester,300.0,295.0
Not_nice_tit_for_tat,Joss,133.0,133.0
Not_nice_tit_for_tat,Soft_Majority,103.0,103.0
Not_nice_tit_for_tat,Adaptive_Tit_For_Tat,302.0,297.0
Not_nice_tit_for_tat,Punisher,100.0,100.0
Not_nice_tit_for_tat,Extortioner,203.0,198.0
Not_nice_tit_for_tat,Retaliator,103.0,103.0
Not_nice_tit_for_tat,Spiteful,100.0,100.0
Not_nice_tit_for_tat,Windowed_Forgiveness_TFT,250.0,250.0
Not_nice_tit_for_tat,Generous_TFT,297.5,292.5
Not_nice_tit_for_tat,Predictive_Mirror,302.0,297.0
Not_nice_tit_for_tat,Gradual_Retaliator,103.0,103.0
Not_nice_tit_for_tat,NicerTester,301.0,296.0
Not_nice_tit_for_tat,Adaptive_Tit_For_Tat_10,296.8,292.3
