player,opponent,player score,opponent score
Pavlov,Tit_for_tat,300.0,300.0
Pavlov,Always_cooperate,300.0,300.0
Pavlov,Always_defect,50.0,300.0
Pavlov,Tit_for_two_tats,300.0,300.0
Pavlov,Random,217.9,229.9
Pavlov,Alternator,225.0,225.0
Pavlov,Not_nice_tit_for_tat,198.0,203.0
Pavlov,Grim_Trigger,300.0,300.0
Pavlov,Pavlov,300.0,300.0
Pavlov,Prober,54.0,299.0
Pavlov,Tester,203.0,198.0
Pavlov,Joss,203.6,220.1
Pavlov,Soft_Majority,300.0,300.0
Pavlov,Adaptive_Tit_For_Tat,300.0,300.0
Pavlov,Punisher,300.0,300.0
Pavlov,Extortioner,135.0,300.0
Pavlov,Retaliator,300.0,300.0
Pavlov,Spiteful,50.0,300.0
Pavlov,Windowed_Forgiveness_TFT,300.0,300.0
Pavlov,Generous_TFT,300.0,300.0
Pavlov,Predictive_Mirror,300.0,300.0
Pavlov,Gradual_Retaliator,300.0,300.0
Pavlov,NicerTester,205.0,200.0
Pavlov,Adaptive_Tit_For_Tat_10,300.0,300.0
