player,opponent,player score,opponent score
Retaliator,Tit_for_tat,300.0,300.0
Retaliator,Always_cooperate,300.0,300.0
Retaliator,Always_defect,99.0,104.0
Retaliator,Tit_for_two_tats,302.0,297.0
Retaliator,Random,251.0,166.0
Retaliator,Alternator,297.6,56.1
Retaliator,Not_nice_tit_for_tat,103.0,103.0
Retaliator,Grim_Trigger,103.0,103.0
Retaliator,Pavlov,300.0,300.0
Retaliator,Prober,103.0,103.0
Retaliator,Tester,111.0,101.0
Retaliator,Joss,115.2,115.2
Retaliator,Soft_Majority,201.5,201.5
Retaliator,Adaptive_Tit_For_Tat,300.0,300.0
Retaliator,Punisher,103.0,103.0
Retaliator,Extortioner,203.0,198.0
Retaliator,Retaliator,300.0,300.0
Retaliator,Spiteful,99.0,104.0
Retaliator,Windowed_Forgiveness_TFT,107.0,102.0
Retaliator,Generous_TFT,300.0,300.0
Retaliator,Predictive_Mirror,300.0,300.0
Retaliator,Gradual_Retaliator,300.0,300.0
Retaliator,NicerTester,112.0,107.0
Retaliator,Adaptive_Tit_For_Tat_10,302.0,297.0
