player,opponent,player score,opponent score
Anonymous,Tit For Tat,501.3,498.8
Anonymous,Tideman & Chieruzzi,454.7,491.7
Anonymous,Nydegger,602.7,455.7
Anonymous,Grofman,436.1,486.6
Anonymous,Shubik,133.7,465.2
Anonymous,Stein & Rapoport,525.4,475.9
Anonymous,Grudger,147.8,452.8
Anonymous,Davis,169.6,426.6
Anonymous,Graaskamp,491.1,458.6
Anonymous,Downing,431.1,427.1
Anonymous,Feld,432.5,477.0
Anonymous,Joss,420.5,471.5
Anonymous,Tullock,537.9,431.4
Anonymous,Anonymous,468.2,477.7
Anonymous,Random,435.9,477.4
