player,opponent,player score,opponent score
Graaskamp,Tit For Tat,600.0,600.0
Graaskamp,Tideman & Chieruzzi,600.0,600.0
Graaskamp,Nydegger,600.0,600.0
Graaskamp,Grofman,600.0,600.0
Graaskamp,Shubik,231.0,276.0
Graaskamp,Stein & Rapoport,599.7,600.2
Graaskamp,Grudger,600.0,600.0
Graaskamp,Davis,440.3,457.8
Graaskamp,Graaskamp,600.0,600.0
Graaskamp,Downing,600.0,600.0
Graaskamp,Feld,453.8,462.8
Graaskamp,Joss,312.9,341.4
Graaskamp,Tullock,600.0,600.0
Graaskamp,Anonymous,458.6,491.1
Graaskamp,Random,440.8,479.8
