player,opponent,player score,opponent score
Stein & Rapoport,Tit For Tat,600.0,600.0
Stein & Rapoport,Tideman & Chieruzzi,600.0,600.0
Stein & Rapoport,Nydegger,600.0,600.0
Stein & Rapoport,Grofman,600.0,600.0
Stein & Rapoport,Shubik,221.1,315.6
Stein & Rapoport,Stein & Rapoport,600.0,600.0
Stein & Rapoport,Grudger,600.0,600.0
Stein & Rapoport,Davis,262.5,353.0
Stein & Rapoport,Graaskamp,600.2,599.7
Stein & Rapoport,Downing,558.0,569.5
Stein & Rapoport,Feld,421.6,480.1
Stein & Rapoport,Joss,400.0,456.5
Stein & Rapoport,Tullock,600.0,600.0
Stein & Rapoport,Anonymous,475.9,525.4
Stein & Rapoport,Random,429.4,484.4
