player,opponent,player score,opponent score
Tideman & Chieruzzi,Tit For Tat,599.2,599.2
Tideman & Chieruzzi,Tideman & Chieruzzi,600.0,600.0
Tideman & Chieruzzi,Nydegger,600.0,600.0
Tideman & Chieruzzi,Grofman,600.0,600.0
Tideman & Chieruzzi,Shubik,61.8,952.8
Tideman & Chieruzzi,Stein & Rapoport,600.0,600.0
Tideman & Chieruzzi,Grudger,600.0,600.0
Tideman & Chieruzzi,Davis,584.2,605.2
Tideman & Chieruzzi,Graaskamp,600.0,600.0
Tideman & Chieruzzi,Downing,600.0,600.0
Tideman & Chieruzzi,Feld,420.6,483.1
Tideman & Chieruzzi,Joss,458.4,541.9
Tideman & Chieruzzi,Tullock,594.9,599.4
Tideman & Chieruzzi,Anonymous,491.7,454.7
Tideman & Chieruzzi,Random,453.5,455.0
