player,opponent,player score,opponent score
Tit For Tat,Tit For Tat,600.0,600.0
Tit For Tat,Tideman & Chieruzzi,599.2,599.2
Tit For Tat,Nydegger,600.0,600.0
Tit For Tat,Grofman,600.0,600.0
Tit For Tat,Shubik,239.1,243.6
Tit For Tat,Stein & Rapoport,600.0,600.0
Tit For Tat,Grudger,600.0,600.0
Tit For Tat,Davis,239.4,243.9
Tit For Tat,Graaskamp,600.0,600.0
Tit For Tat,Downing,600.0,600.0
Tit For Tat,Feld,447.5,449.5
Tit For Tat,Joss,244.8,249.8
Tit For Tat,Tullock,600.0,600.0
Tit For Tat,Anonymous,498.8,501.3
Tit For Tat,Random,451.8,454.8
