Generation,Strategy,Count,Average Score
0,Joss,1,446.0
0,Adaptive_Tit_For_Tat,1,442.0
0,Tit_for_tat,1,441.0
0,Spiteful,1,435.0
0,Grim_Trigger,1,431.0
0,Soft_Majority,1,422.0
0,Punisher,1,421.0
0,Retaliator,1,420.0
0,Alternator,1,419.0
0,Tit_for_two_tats,1,417.0
0,Pavlov,1,407.0
0,Always_cooperate,1,387.0
0,Tester,1,385.0
0,Not_nice_tit_for_tat,1,378.0
0,Prober,1,376.0
0,Random,1,371.0
0,Extortioner,1,359.0
0,Always_defect,1,342.0
1,Joss,2,471.5
1,Adaptive_Tit_For_Tat,2,486.0
1,Tit_for_tat,2,486.5
1,Spiteful,1,467.0
1,Grim_Trigger,1,446.0
1,Soft_Majority,1,461.0
1,Punisher,1,458.0
1,Retaliator,1,458.0
1,Alternator,1,450.0
1,Tit_for_two_tats,1,455.0
1,Pavlov,1,454.0
1,Always_cooperate,1,462.0
1,Tester,1,415.0
1,Not_nice_tit_for_tat,1,407.0
1,Prober,1,397.0
1,Random,0,0.0
1,Extortioner,0,0.0
1,Always_defect,0,0.0
2,Joss,2,495.0
2,Adaptive_Tit_For_Tat,4,495.5
2,Tit_for_tat,3,499.0
2,Spiteful,1,492.0
2,Grim_Trigger,1,507.0
2,Soft_Majority,1,503.0
2,Punisher,1,487.0
2,Retaliator,1,488.0
2,Alternator,1,456.0
2,Tit_for_two_tats,1,492.0
2,Pavlov,1,498.0
2,Always_cooperate,1,489.0
2,Tester,0,0.0
2,Not_nice_tit_for_tat,0,0.0
2,Prober,0,0.0
2,Random,0,0.0
2,Extortioner,0,0.0
2,Always_defect,0,0.0
3,Joss,2,494.5
3,Adaptive_Tit_For_Tat,4,503.5
3,Tit_for_tat,4,505.25
3,Spiteful,1,504.0
3,Grim_Trigger,2,497.5
3,Soft_Majority,1,507.0
3,Punisher,0,0.0
3,Retaliator,1,495.0
3,Alternator,0,0.0
3,Tit_for_two_tats,1,507.0
3,Pavlov,1,504.0
3,Always_cooperate,1,507.0
3,Tester,0,0.0
3,Not_nice_tit_for_tat,0,0.0
3,Prober,0,0.0
3,Random,0,0.0
3,Extortioner,0,0.0
3,Always_defect,0,0.0
4,Joss,1,503.0
4,Adaptive_Tit_For_Tat,5,507.4
4,Tit_for_tat,5,506.6
4,Spiteful,1,507.0
4,Grim_Trigger,2,504.0
4,Soft_Majority,1,503.0
4,Punisher,0,0.0
4,Retaliator,0,0.0
4,Alternator,0,0.0
4,Tit_for_two_tats,1,503.0
4,Pavlov,1,510.0
4,Always_cooperate,1,507.0
4,Tester,0,0.0
4,Not_nice_tit_for_tat,0,0.0
4,Prober,0,0.0
4,Random,0,0.0
4,Extortioner,0,0.0
4,Always_defect,0,0.0
5,Joss,0,0.0
5,Adaptive_Tit_For_Tat,6,510.0
5,Tit_for_tat,5,510.0
5,Spiteful,1,510.0
5,Grim_Trigger,1,510.0
5,Soft_Majority,1,510.0
5,Punisher,0,0.0
5,Retaliator,0,0.0
5,Alternator,0,0.0
5,Tit_for_two_tats,1,510.0
5,Pavlov,2,510.0
5,Always_cooperate,1,510.0
5,Tester,0,0.0
5,Not_nice_tit_for_tat,0,0.0
5,Prober,0,0.0
5,Random,0,0.0
5,Extortioner,0,0.0
5,Always_defect,0,0.0
6,Joss,0,0.0
6,Adaptive_Tit_For_Tat,6,510.0
6,Tit_for_tat,5,510.0
6,Spiteful,1,510.0
6,Grim_Trigger,1,510.0
6,Soft_Majority,1,510.0
6,Punisher,0,0.0
6,Retaliator,0,0.0
6,Alternator,0,0.0
6,Tit_for_two_tats,1,510.0
6,Pavlov,2,510.0
6,Always_cooperate,1,510.0
6,Tester,0,0.0
6,Not_nice_tit_for_tat,0,0.0
6,Prober,0,0.0
6,Random,0,0.0
6,Extortioner,0,0.0
6,Always_defect,0,0.0
7,Joss,0,0.0
7,Adaptive_Tit_For_Tat,6,510.0
7,Tit_for_tat,5,510.0
7,Spiteful,1,510.0
7,Grim_Trigger,1,510.0
7,Soft_Majority,1,510.0
7,Punisher,0,0.0
7,Retaliator,0,0.0
7,Alternator,0,0.0
7,Tit_for_two_tats,1,510.0
7,Pavlov,2,510.0
7,Always_cooperate,1,510.0
7,Tester,0,0.0
7,Not_nice_tit_for_tat,0,0.0
7,Prober,0,0.0
7,Random,0,0.0
7,Extortioner,0,0.0
7,Always_defect,0,0.0
8,Joss,0,0.0
8,Adaptive_Tit_For_Tat,6,510.0
8,Tit_for_tat,5,510.0
8,Spiteful,1,510.0
8,Grim_Trigger,1,510.0
8,Soft_Majority,1,510.0
8,Punisher,0,0.0
8,Retaliator,0,0.0
8,Alternator,0,0.0
8,Tit_for_two_tats,1,510.0
8,Pavlov,2,510.0
8,Always_cooperate,1,510.0
8,Tester,0,0.0
8,Not_nice_tit_for_tat,0,0.0
8,Prober,0,0.0
8,Random,0,0.0
8,Extortioner,0,0.0
8,Always_defect,0,0.0
9,Joss,0,0.0
9,Adaptive_Tit_For_Tat,6,510.0
9,Tit_for_tat,5,510.0
9,Spiteful,1,510.0
9,Grim_Trigger,1,510.0
9,Soft_Majority,1,510.0
9,Punisher,0,0.0
9,Retaliator,0,0.0
9,Alternator,0,0.0
9,Tit_for_two_tats,1,510.0
9,Pavlov,2,510.0
9,Always_cooperate,1,510.0
9,Tester,0,0.0
9,Not_nice_tit_for_tat,0,0.0
9,Prober,0,0.0
9,Random,0,0.0
9,Extortioner,0,0.0
9,Always_defect,0,0.0
