Match,Score
"('Tit_for_tat', 'Tit_for_tat')","(60, 60)"
"('Tit_for_tat', 'Always_cooperate')","(30, 30)"
"('Tit_for_tat', 'Always_defect')","(9, 14)"
"('Tit_for_tat', 'Tit_for_two_tats')","(30, 30)"
"('Tit_for_tat', 'Random')","(22, 22)"
"('Tit_for_tat', 'Alternator')","(23, 28)"
"('Tit_for_tat', 'Not_nice_tit_for_tat')","(25, 25)"
"('Tit_for_tat', 'Grim_Trigger')","(30, 30)"
"('Tit_for_tat', 'Pavlov')","(30, 30)"
"('Tit_for_tat', 'Prober')","(25, 25)"
"('Tit_for_tat', 'Tester')","(29, 29)"
"('Tit_for_tat', 'Joss')","(28, 28)"
"('Tit_for_tat', 'Soft_Majority')","(30, 30)"
"('Tit_for_tat', 'Adaptive_Tit_For_Tat')","(30, 30)"
"('Tit_for_tat', 'Punisher')","(30, 30)"
"('Tit_for_tat', 'Extortioner')","(21, 21)"
"('Tit_for_tat', 'Retaliator')","(30, 30)"
"('Tit_for_tat', 'Spiteful')","(30, 30)"
"('Always_cooperate', 'Always_cooperate')","(60, 60)"
"('Always_cooperate', 'Always_defect')","(0, 50)"
"('Always_cooperate', 'Tit_for_two_tats')","(30, 30)"
"('Always_cooperate', 'Random')","(27, 32)"
"('Always_cooperate', 'Alternator')","(15, 40)"
"('Always_cooperate', 'Not_nice_tit_for_tat')","(27, 32)"
"('Always_cooperate', 'Grim_Trigger')","(30, 30)"
"('Always_cooperate', 'Pavlov')","(30, 30)"
"('Always_cooperate', 'Prober')","(24, 34)"
"('Always_cooperate', 'Tester')","(6, 46)"
"('Always_cooperate', 'Joss')","(30, 30)"
"('Always_cooperate', 'Soft_Majority')","(30, 30)"
"('Always_cooperate', 'Adaptive_Tit_For_Tat')","(30, 30)"
"('Always_cooperate', 'Punisher')","(30, 30)"
"('Always_cooperate', 'Extortioner')","(12, 42)"
"('Always_cooperate', 'Retaliator')","(30, 30)"
"('Always_cooperate', 'Spiteful')","(30, 30)"
"('Always_defect', 'Always_defect')","(20, 20)"
"('Always_defect', 'Tit_for_two_tats')","(18, 8)"
"('Always_defect', 'Random')","(34, 4)"
"('Always_defect', 'Alternator')","(30, 5)"
"('Always_defect', 'Not_nice_tit_for_tat')","(10, 10)"
"('Always_defect', 'Grim_Trigger')","(14, 9)"
"('Always_defect', 'Pavlov')","(30, 5)"
"('Always_defect', 'Prober')","(14, 9)"
"('Always_defect', 'Tester')","(46, 1)"
"('Always_defect', 'Joss')","(14, 9)"
"('Always_defect', 'Soft_Majority')","(14, 9)"
"('Always_defect', 'Adaptive_Tit_For_Tat')","(14, 9)"
"('Always_defect', 'Punisher')","(14, 9)"
"('Always_defect', 'Extortioner')","(26, 6)"
"('Always_defect', 'Retaliator')","(14, 9)"
"('Always_defect', 'Spiteful')","(22, 7)"
"('Tit_for_two_tats', 'Tit_for_two_tats')","(60, 60)"
"('Tit_for_two_tats', 'Random')","(15, 35)"
"('Tit_for_two_tats', 'Alternator')","(15, 40)"
"('Tit_for_two_tats', 'Not_nice_tit_for_tat')","(27, 32)"
"('Tit_for_two_tats', 'Grim_Trigger')","(30, 30)"
"('Tit_for_two_tats', 'Pavlov')","(30, 30)"
"('Tit_for_two_tats', 'Prober')","(24, 34)"
"('Tit_for_two_tats', 'Tester')","(11, 26)"
"('Tit_for_two_tats', 'Joss')","(24, 34)"
"('Tit_for_two_tats', 'Soft_Majority')","(30, 30)"
"('Tit_for_two_tats', 'Adaptive_Tit_For_Tat')","(30, 30)"
"('Tit_for_two_tats', 'Punisher')","(30, 30)"
"('Tit_for_two_tats', 'Extortioner')","(18, 33)"
"('Tit_for_two_tats', 'Retaliator')","(27, 32)"
"('Tit_for_two_tats', 'Spiteful')","(8, 18)"
"('Random', 'Random')","(46, 46)"
"('Random', 'Alternator')","(23, 18)"
"('Random', 'Not_nice_tit_for_tat')","(21, 26)"
"('Random', 'Grim_Trigger')","(11, 21)"
"('Random', 'Pavlov')","(29, 19)"
"('Random', 'Prober')","(18, 18)"
"('Random', 'Tester')","(33, 23)"
"('Random', 'Joss')","(20, 15)"
"('Random', 'Soft_Majority')","(25, 25)"
"('Random', 'Adaptive_Tit_For_Tat')","(24, 19)"
"('Random', 'Punisher')","(19, 19)"
"('Random', 'Extortioner')","(18, 28)"
"('Random', 'Retaliator')","(17, 32)"
"('Random', 'Spiteful')","(9, 14)"
"('Alternator', 'Alternator')","(60, 60)"
"('Alternator', 'Not_nice_tit_for_tat')","(25, 25)"
"('Alternator', 'Grim_Trigger')","(12, 27)"
"('Alternator', 'Pavlov')","(26, 21)"
"('Alternator', 'Prober')","(25, 25)"
"('Alternator', 'Tester')","(37, 17)"
"('Alternator', 'Joss')","(24, 24)"
"('Alternator', 'Soft_Majority')","(28, 23)"
"('Alternator', 'Adaptive_Tit_For_Tat')","(28, 23)"
"('Alternator', 'Punisher')","(20, 25)"
"('Alternator', 'Extortioner')","(19, 24)"
"('Alternator', 'Retaliator')","(12, 27)"
"('Alternator', 'Spiteful')","(5, 30)"
"('Not_nice_tit_for_tat', 'Not_nice_tit_for_tat')","(20, 20)"
"('Not_nice_tit_for_tat', 'Grim_Trigger')","(13, 13)"
"('Not_nice_tit_for_tat', 'Pavlov')","(23, 18)"
"('Not_nice_tit_for_tat', 'Prober')","(26, 21)"
"('Not_nice_tit_for_tat', 'Tester')","(30, 25)"
"('Not_nice_tit_for_tat', 'Joss')","(13, 13)"
"('Not_nice_tit_for_tat', 'Soft_Majority')","(13, 13)"
