player1,player2,player1score,player2score
Tit_for_tat,Tit_for_tat,30,30
Tit_for_tat,Always_cooperate,30,30
Tit_for_tat,Always_defect,9,14
Tit_for_tat,Tit_for_two_tats,30,30
Tit_for_tat,Random,24,24
Tit_for_tat,Alternator,23,28
Tit_for_tat,Not_nice_tit_for_tat,25,25
Tit_for_tat,Grim_Trigger,30,30
Tit_for_tat,Pavlov,30,30
Tit_for_tat,Prober,25,25
Tit_for_tat,Tester,29,29
Tit_for_tat,Joss,24,29
Tit_for_tat,Soft_Majority,30,30
Tit_for_tat,Adaptive_Tit_For_Tat,30,30
Tit_for_tat,Punisher,30,30
Tit_for_tat,Extortioner,21,21
Tit_for_tat,Retaliator,30,30
Tit_for_tat,Spiteful,30,30
Always_cooperate,Always_cooperate,30,30
Always_cooperate,Always_defect,0,50
Always_cooperate,Tit_for_two_tats,30,30
Always_cooperate,Random,9,44
Always_cooperate,Alternator,15,40
Always_cooperate,Not_nice_tit_for_tat,27,32
Always_cooperate,Grim_Trigger,30,30
Always_cooperate,Pavlov,30,30
Always_cooperate,Prober,24,34
Always_cooperate,Tester,6,46
Always_cooperate,Joss,27,32
Always_cooperate,Soft_Majority,30,30
Always_cooperate,Adaptive_Tit_For_Tat,30,30
Always_cooperate,Punisher,30,30
Always_cooperate,Extortioner,12,42
Always_cooperate,Retaliator,30,30
Always_cooperate,Spiteful,30,30
Always_defect,Always_defect,10,10
Always_defect,Tit_for_two_tats,18,8
Always_defect,Random,22,7
Always_defect,Alternator,30,5
Always_defect,Not_nice_tit_for_tat,10,10
Always_defect,Grim_Trigger,14,9
Always_defect,Pavlov,30,5
Always_defect,Prober,14,9
Always_defect,Tester,46,1
Always_defect,Joss,14,9
Always_defect,Soft_Majority,14,9
Always_defect,Adaptive_Tit_For_Tat,14,9
Always_defect,Punisher,14,9
Always_defect,Extortioner,26,6
Always_defect,Retaliator,14,9
Always_defect,Spiteful,22,7
Tit_for_two_tats,Tit_for_two_tats,30,30
Tit_for_two_tats,Random,17,37
Tit_for_two_tats,Alternator,15,40
Tit_for_two_tats,Not_nice_tit_for_tat,27,32
Tit_for_two_tats,Grim_Trigger,30,30
Tit_for_two_tats,Pavlov,30,30
Tit_for_two_tats,Prober,24,34
Tit_for_two_tats,Tester,11,26
Tit_for_two_tats,Joss,30,30
Tit_for_two_tats,Soft_Majority,30,30
Tit_for_two_tats,Adaptive_Tit_For_Tat,30,30
Tit_for_two_tats,Punisher,30,30
Tit_for_two_tats,Extortioner,18,33
Tit_for_two_tats,Retaliator,27,32
Tit_for_two_tats,Spiteful,8,18
Random,Random,32,7
Random,Alternator,24,14
Random,Not_nice_tit_for_tat,21,26
Random,Grim_Trigger,15,25
Random,Pavlov,26,16
Random,Prober,15,15
Random,Tester,11,31
Random,Joss,21,21
Random,Soft_Majority,25,25
Random,Adaptive_Tit_For_Tat,32,22
Random,Punisher,16,26
Random,Extortioner,18,28
Random,Retaliator,16,31
Random,Spiteful,4,34
Alternator,Alternator,20,20
Alternator,Not_nice_tit_for_tat,25,25
Alternator,Grim_Trigger,12,27
Alternator,Pavlov,26,21
Alternator,Prober,25,25
Alternator,Tester,37,17
Alternator,Joss,28,23
Alternator,Soft_Majority,28,23
Alternator,Adaptive_Tit_For_Tat,28,23
Alternator,Punisher,13,28
Alternator,Extortioner,19,24
Alternator,Retaliator,9,29
Alternator,Spiteful,5,30
Not_nice_tit_for_tat,Not_nice_tit_for_tat,10,10
Not_nice_tit_for_tat,Grim_Trigger,13,13
Not_nice_tit_for_tat,Pavlov,23,18
Not_nice_tit_for_tat,Prober,26,21
Not_nice_tit_for_tat,Tester,30,25
Not_nice_tit_for_tat,Joss,25,25
Not_nice_tit_for_tat,Soft_Majority,13,13
Not_nice_tit_for_tat,Adaptive_Tit_For_Tat,25,25
Not_nice_tit_for_tat,Punisher,13,13
Not_nice_tit_for_tat,Extortioner,23,18
Not_nice_tit_for_tat,Retaliator,13,13
Not_nice_tit_for_tat,Spiteful,10,10
Grim_Trigger,Grim_Trigger,30,30
Grim_Trigger,Pavlov,30,30
Grim_Trigger,Prober,13,13
Grim_Trigger,Tester,45,5
Grim_Trigger,Joss,17,17
Grim_Trigger,Soft_Majority,30,30
Grim_Trigger,Adaptive_Tit_For_Tat,30,30
Grim_Trigger,Punisher,30,30
Grim_Trigger,Extortioner,23,13
Grim_Trigger,Retaliator,13,13
Grim_Trigger,Spiteful,9,14
Pavlov,Pavlov,30,30
Pavlov,Prober,9,29
Pavlov,Tester,45,5
Pavlov,Joss,30,30
Pavlov,Soft_Majority,30,30
Pavlov,Adaptive_Tit_For_Tat,30,30
Pavlov,Punisher,30,30
Pavlov,Extortioner,15,30
Pavlov,Retaliator,30,30
Pavlov,Spiteful,5,30
Prober,Prober,12,12
Prober,Tester,15,15
Prober,Joss,25,25
Prober,Soft_Majority,13,13
Prober,Adaptive_Tit_For_Tat,25,25
Prober,Punisher,13,13
Prober,Extortioner,25,10
Prober,Retaliator,13,13
Prober,Spiteful,9,14
Tester,Tester,14,14
Tester,Joss,26,31
Tester,Soft_Majority,26,31
Tester,Adaptive_Tit_For_Tat,29,29
Tester,Punisher,23,33
Tester,Extortioner,14,39
Tester,Retaliator,22,32
Tester,Spiteful,1,46
Joss,Joss,32,27
Joss,Soft_Majority,30,30
Joss,Adaptive_Tit_For_Tat,36,21
Joss,Punisher,30,30
Joss,Extortioner,21,21
Joss,Retaliator,30,30
Joss,Spiteful,9,14
Soft_Majority,Soft_Majority,30,30
Soft_Majority,Adaptive_Tit_For_Tat,30,30
Soft_Majority,Punisher,30,30
Soft_Majority,Extortioner,23,13
Soft_Majority,Retaliator,30,30
Soft_Majority,Spiteful,9,14
Adaptive_Tit_For_Tat,Adaptive_Tit_For_Tat,30,30
Adaptive_Tit_For_Tat,Punisher,30,30
Adaptive_Tit_For_Tat,Extortioner,21,21
Adaptive_Tit_For_Tat,Retaliator,30,30
Adaptive_Tit_For_Tat,Spiteful,9,14
Punisher,Punisher,30,30
Punisher,Extortioner,23,13
Punisher,Retaliator,13,13
Punisher,Spiteful,10,10
Extortioner,Extortioner,18,18
Extortioner,Retaliator,18,23
Extortioner,Spiteful,6,26
Retaliator,Retaliator,30,30
Retaliator,Spiteful,9,14
Spiteful,Spiteful,30,30
