Player,Score
Soft_Majority,5042.4
Adaptive_Tit_For_Tat,4976.2
Generous_TFT,4882.0
Always_cooperate,4824.0
Tit_for_two_tats,4723.5
Alternator,4654.1
Extortioner,4612.5
Random,4558.8
Pavlov,4499.9
NicerTester,4349.5
Adaptive_Tit_For_Tat_10,4229.9
Predictive_Mirror,4183.7
Joss,4141.5
Windowed_Forgiveness_TFT,4118.9
Tit_for_tat,4078.5
Spiteful,4048.4
Grim_Trigger,4027.1
Always_defect,3990.8
Not_nice_tit_for_tat,3955.2
Punisher,3908.4
Tester,3869.0
Retaliator,3805.1
Gradual_Retaliator,3763.3
Prober,3716.0
