player,opponent,player score,opponent score
Extortioner,Tit_for_tat,412.7,393.7
Extortioner,Always_cooperate,866.0,201.0
Extortioner,Always_defect,133.0,468.0
Extortioner,Tit_for_two_tats,654.9,329.9
Extortioner,Random,486.8,338.3
Extortioner,Alternator,499.0,334.0
Extortioner,Not_nice_tit_for_tat,412.4,393.9
Extortioner,Grim_Trigger,140.0,465.0
Extortioner,Pavlov,516.6,326.1
Extortioner,Prober,190.5,453.0
Extortioner,Tester,790.8,229.3
Extortioner,Joss,391.1,397.1
Extortioner,Soft_Majority,141.5,464.5
Extortioner,Adaptive_Tit_For_Tat,645.4,295.9
Extortioner,Punisher,156.7,459.2
Extortioner,Extortioner,334.0,334.0
Extortioner,Retaliator,380.8,405.3
Extortioner,Spiteful,133.0,468.0
