player,opponent,player score,opponent score
Random,Tit_for_tat,457.7,450.2
Random,Always_cooperate,802.2,296.7
Random,Always_defect,99.7,601.2
Random,Tit_for_two_tats,624.8,371.8
Random,Random,444.9,452.4
Random,Alternator,447.8,454.8
Random,Not_nice_tit_for_tat,451.7,442.2
Random,Grim_Trigger,108.9,589.4
Random,Pavlov,445.9,454.9
Random,Prober,389.8,474.8
Random,Tester,583.4,397.4
Random,Joss,410.9,458.4
Random,Soft_Majority,522.6,426.6
Random,Adaptive_Tit_For_Tat,620.2,355.2
Random,Punisher,272.2,527.7
Random,Extortioner,338.3,486.8
Random,Retaliator,338.9,500.9
Random,Spiteful,99.0,604.0
