player,opponent,player score,opponent score
Tit_for_two_tats,Tit_for_tat,558.8,615.3
Tit_for_two_tats,Always_cooperate,602.0,597.0
Tit_for_two_tats,Always_defect,177.3,290.8
Tit_for_two_tats,Tit_for_two_tats,599.9,598.4
Tit_for_two_tats,Random,371.8,624.8
Tit_for_two_tats,Alternator,312.6,771.1
Tit_for_two_tats,Not_nice_tit_for_tat,566.2,615.7
Tit_for_two_tats,Grim_Trigger,235.0,334.0
Tit_for_two_tats,Pavlov,408.0,577.0
Tit_for_two_tats,Prober,560.4,615.9
Tit_for_two_tats,Tester,226.1,313.1
Tit_for_two_tats,Joss,499.0,627.5
Tit_for_two_tats,Soft_Majority,601.2,598.2
Tit_for_two_tats,Adaptive_Tit_For_Tat,586.0,606.5
Tit_for_two_tats,Punisher,319.5,425.5
Tit_for_two_tats,Extortioner,329.9,654.9
Tit_for_two_tats,Retaliator,428.6,569.1
Tit_for_two_tats,Spiteful,179.9,280.4
